slug,nome,categoria,descricao_curta,descricao_longa,spec_1_label,spec_1_valor,spec_2_label,spec_2_valor,spec_3_label,spec_3_valor,spec_4_label,spec_4_valor,tags,destaque_home,disponivel,entrega_obra,foto_disponivel,observacoes
argamassadeira,Argamassadeira,concretagem,Locação de Argamassadeira — valores sob consulta.,,,,,,,,,,concretagem,nao,sim,consulte,pendente,
aspirador-de-po,aspirador de po,ferramentas-eletricas,Locação de aspirador de po — valores sob consulta.,,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
betoneira,betoneira,concretagem,Locação de betoneira — valores sob consulta.,,,,,,,,,,concretagem,nao,sim,consulte,pendente,
bomba-lameira,bomba lameira,concretagem,Locação de bomba lameira — valores sob consulta.,,,,,,,,,,concretagem,nao,sim,consulte,pendente,
bomba-mangote,bomba mangote,concretagem,Locação de bomba mangote — valores sob consulta.,,,,,,,,,,concretagem,nao,sim,consulte,pendente,
bomba-mangote-75,"bomba mangote 75""",concretagem,"Locação de bomba mangote 75"" — valores sob consulta.",,,,,,,,,,concretagem,nao,sim,consulte,pendente,
chave-de-impacto,chave de impacto,ferramentas-eletricas,Locação de chave de impacto — valores sob consulta.,,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
compactador-eletrico,compactador eletrico,compactacao,Locação de compactador eletrico — valores sob consulta.,,,,,,,,,,compactacao,nao,sim,consulte,pendente,
compactador-eletrico-unidade-2,Compactador elétrico (unidade 2),compactacao,Locação de Compactador elétrico (unidade 2) — valores sob consulta.,,,,,,,,,,compactacao,nao,sim,consulte,pendente,
compressor-220v,compressor 220v,energia,Locação de compressor 220v — valores sob consulta.,,,,,,,,,,energia,nao,sim,consulte,pendente,
cortadora,cortadora,ferramentas-eletricas,Locação de cortadora — valores sob consulta.,,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
cortadora-de-piso-gasolina,cortadora de piso gasolina,ferramentas-eletricas,Locação de cortadora de piso gasolina — valores sob consulta.,,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
escada-fibra-6m-extensiva,escada fibra 6m extensiva,ferramentas-eletricas,Locação de escada fibra 6m extensiva — valores sob consulta.,,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
esmerilhadeira-4-5-220v,"esmerilhadeira 4,5"" 220v",ferramentas-eletricas,"Locação de esmerilhadeira 4,5"" 220v — valores sob consulta.",,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
esmerilhadeira-7-m-220v,"esmerilhadeira 7""m -220v",ferramentas-eletricas,"Locação de esmerilhadeira 7""m -220v — valores sob consulta.",,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
furadeira-5-8-220v,furadeira 5/8 220v,ferramentas-eletricas,Locação de furadeira 5/8 220v — valores sob consulta.,,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
furadeira-1-2-200v,furadeira 1/2 200v,ferramentas-eletricas,Locação de furadeira 1/2 200v — valores sob consulta.,,,,,,,,,,ferramentas,nao,sim,consulte,pendente,
gerador-a-gasolina,gerador a gasolina,energia,Locação de gerador a gasolina — valores sob consulta.,,,,,,,,,,energia,nao,sim,consulte,pendente,
guincho-de-coluna-200kg,guincho de coluna 200kg,outros,Locação de guincho de coluna 200kg — valores sob consulta.,,,,,,,,,,outros,nao,sim,consulte,pendente,
guincho-mini-grua,guincho mini grua,outros,Locação de guincho mini grua — valores sob consulta.,,,,,,,,,,outros,nao,sim,consulte,pendente,
